{-282, 990, 227, 872, 324, 171, 456, 885, 194},
{-282, 980, 207, 845, 324, 171, 446, 876, 184},
{-303, 980, 227, 845, 324, 171, 446, 876, 184},
{-282, 970, 217, 854, 333, 161, 456, 885, 155},
{-292, 990, 227, 872, 314, 161, 456, 876, 174},
{-292, 990, 237, 845, 314, 181, 446, 885, 184},
{-282, 970, 217, 863, 342, 141, 456, 885, 184},
{-282, 980, 207, 854, 324, 161, 466, 876, 194},
{-292, 970, 217, 854, 324, 161, 475, 876, 184},
{-292, 980, 227, 872, 324, 161, 456, 885, 174},
{-282, 980, 207, 872, 333, 151, 466, 876, 184},
{-282, 990, 198, 854, 324, 171, 456, 885, 194},
{-292, 970, 217, 863, 324, 161, 475, 885, 165},
{-272, 980, 207, 863, 324, 161, 466, 866, 184},
{-303, 970, 217, 872, 342, 141, 456, 885, 194},
{-282, 980, 207, 863, 305, 171, 446, 885, 184},
{-282, 970, 227, 872, 324, 151, 466, 866, 203},
{-292, 970, 237, 872, 324, 151, 456, 876, 203},
{-292, 990, 217, 863, 324, 171, 446, 885, 174},
{-292, 980, 217, 872, 314, 171, 466, 866, 194},
{-292, 970, 207, 872, 333, 161, 446, 876, 174},
{-282, 970, 207, 872, 314, 181, 466, 895, 174},
{-292, 980, 207, 854, 324, 171, 456, 876, 184},
{-282, 1000, 207, 872, 324, 151, 475, 847, 194},
{-292, 970, 217, 872, 324, 191, 466, 885, 165},
{-292, 980, 237, 863, 324, 181, 466, 866, 184},
{-282, 970, 237, 863, 324, 181, 466, 885, 194},
{-282, 980, 227, 863, 314, 171, 466, 895, 213},
{-282, 980, 198, 863, 324, 151, 466, 866, 174},
{-292, 970, 207, 863, 324, 171, 456, 895, 203},
{-282, 970, 217, 872, 324, 151, 446, 885, 165},
{-282, 980, 237, 872, 305, 171, 466, 876, 174},
{-303, 980, 237, 863, 333, 161, 466, 876, 174},
{-282, 970, 217, 872, 314, 161, 446, 885, 155},
{-282, 970, 217, 881, 324, 181, 466, 876, 194},
{-292, 970, 207, 863, 333, 171, 456, 885, 194},
{-282, 970, 207, 881, 314, 181, 466, 885, 184},
